id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
737,MPA Public Administration (Distance Learning) (Degree Apprenticeship),12,University of Portsmouth,0,2.2,6.5,1,0
738,Insurance Law - Full-time (Online),12,The University of Law,11350,2.2,0,1,1
739,Industrial Engineering and Operations Management,12,University of Nottingham,28600,2.1,6.5,1,0
740,Business Psychology - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,5,1,0
741,International Development (Online),24,SOAS University of London,6000,2.2,6.5,1,1
742,International Human Resource Management,24,University of Essex Online,6214,0,6.5,1,0
743,Infectious Disease,24,Learna,4814,0,0,1,1
744,Archaeology,12,University of York,22200,0,6.5,1,1
745,Marine Technology,48,University of Plymouth,18100,0,6.5,0,0
746,Electrical and Electronic Engineering,12,Coventry University,20050,0,6.5,1,1
747,Project Management,8,University of Essex Online,4143,0,6.5,1,0
748,Advertising and Marketing,12,Coventry University,20050,2.2,6.5,1,0
749,French Studies,12,University of Birmingham,21840,2.1,6.5,0,0
750,Product and Furniture Design,12,Kingston University,20900,2.1,6.5,0,0
751,Human Geography,12,University of Glasgow,25290,2.1,6.5,1,0
752,International Public Policy,12,Queen's University Belfast,23100,2.1,6.5,0,1
753,Dentistry,12,Cardiff University,44200,0,6.5,1,0
754,Intercultural Communication and Education,12,The University of Exeter,24300,2.2,0,0,1
755,Cognitive Neuroscience,12,University of Nottingham,28600,2.1,6.5,1,1
756,International Business Management,12,University College Birmingham,14500,0,0,0,1
757,Pharmaceutical Analysis with Management Studies,12,Kingston University,17500,2.2,6.5,1,1
758,User Experience Design,12,Kingston University,18500,2.1,6.5,1,1
759,Production Engineering and Operations Management,12,Coventry University,20050,2.2,6.5,0,0
760,Game Development (Design),12,Kingston University,16900,2.2,6.5,0,1
761,Environmental Engineering,12,University of Bath,31600,2.2,6.5,0,0
762,Supply Chain Improvement,12,University of Derby,14900,2.2,6,0,1
763,Law - Banking and Finance Law,12,University of Bristol,26700,2.1,7,1,1
764,English Building History,36,University of York,0,0,7,1,1
765,Translation and Professional Language Skills (French and Spanish),12,University of Bath,26500,2.1,7.5,1,1
766,Applied Economics,12,University of Bath,26500,2.1,6.5,1,0
767,Veterinary Medicine,48,University of Nottingham,41000,0,7.5,1,1
768,Game Design,12,University of Plymouth,17600,2.1,6.5,1,1
769,Environmental Sciences,12,University of Plymouth,17170,2.1,6.5,1,0
770,Management with International Business and Development - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,0
771,Performance,12,University of Liverpool,22400,2.1,0,0,0
772,Management with Leadership,12,University of Huddersfield,16000,2.2,6,0,1
773,Computational Mathematical Finance,12,The University of Edinburgh,38100,2.1,6.5,1,0
774,Landscape Architecture,24,UCL,31100,2.2,7,0,0
775,Architecture,24,University of Plymouth,17100,2.1,6.5,0,1
776,Architecture,24,Kingston University,18400,2.2,6.5,1,0
777,Oral and Maxillofacial Surgery,24,University of Glasgow,50490,0,7,1,0
778,Criminology and Criminal Justice,12,Queen's University Belfast,21500,2.2,6.5,0,0
779,Optical Communications and Signal Processing,12,University of Bristol,34200,2.1,6.5,1,1
780,International Development,12,University of Bath,26500,2.1,6.5,1,1
781,Education,12,Brunel University London,21260,2.2,6.5,0,1
782,Banking (Chartered Banker),12,Bangor University,18300,2.2,0,0,1
783,Civil Engineering and Construction Management,12,University of Derby,14900,2.2,6,1,1
784,Oil and Gas Engineering,12,University of Huddersfield,17000,2.1,6,0,1
785,Employment Law  - Full-time (Online),24,The University of Law,11350,2.2,6.5,0,0
786,Law and Business - Management,12,The University of Exeter,24300,2.2,0,0,0
787,Archives and Records Management (Digital Pathway),12,University of Liverpool,22400,2.1,0,0,0
788,Management,12,Coventry University,18250,2.2,6.5,0,0
789,Egyptology,12,University of Liverpool,22400,2.1,0,1,1
790,Global Gender History,12,University of Glasgow,24000,2.1,0,1,1
791,Construction Project Management - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
792,Painting,12,Coventry University,18600,2.2,6.5,1,0
793,Secondary Education (QTS) - English,36,University of Birmingham,8040,2.2,6.5,0,0
794,Architecture - Architecture (International),36,University of Huddersfield,16000,0,6,0,0
795,Secondary Education - Physical Education with Geography,12,University of Wolverhampton,14950,0,6,1,0
796,Neurobiology and Neurodegeneration,24,University of Liverpool,27800,2.1,0,1,0
797,Documentary Film Production,12,London Metropolitan University,18150,2.2,6,1,1
798,Data Science,24,Unicaf - University of East London,0,2.2,6,0,0
799,Computer Science - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
800,"Migration, Mobility and Development",12,SOAS University of London,25320,2.2,6.5,1,1
801,Environmental Consultancy - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,0,0
802,Medical Devices Engineering,12,University of Glasgow,31860,2.1,6.5,0,0
803,Health Sciences,36,University of Greenwich,16300,2.1,6.5,0,1
804,Accounting and Finance,12,University of Huddersfield,16000,2.2,6,1,0
805,International Business Law,30,University of Liverpool Online Programmes,6426,2.1,6.5,1,1
806,Organizational Psychology and Business,12,Leeds University Business School,0,2.1,6.5,1,0
807,Translation Studies,12,Bangor University,17000,2.2,0,0,1
808,Criminal Investigation,12,University of Derby,14900,2.2,6.5,0,1
809,Business Administration,12,University of Glasgow,37500,2.1,6.5,0,1
810,Geographical Information Systems,12,University of Portsmouth,17200,2.2,6.5,1,1
811,Marketing,12,Edinburgh Napier University,17090,2.2,6,1,0
812,Finance and Accounting,12,University College Birmingham,14500,2.2,6,0,0
813,Literary Translation (Part Time),24,University of East Anglia,21200,2.1,7,0,1
814,Restorative Dentistry (Distance Learning),24,University of Birmingham,26280,0,7,0,1
815,Product Design,12,University of Dundee,21900,2.1,6,0,0
816,Finance and Accounting,12,University of Wolverhampton,15950,2.2,6.5,0,1
817,Food Economics and Marketing,12,University of Reading,22350,2.1,6.5,1,0
818,Medical Education (Part time),24,University of Dundee,8010,0,6.5,0,0
819,Big Data Biology,12,Cardiff University,27450,0,0,0,0
820,Biomedical Engineering,12,University of Glasgow,30240,2.1,6.5,1,1
821,Academic Writing Development,12,Coventry University,0,2.2,6.5,1,0
822,Audiology - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,0
823,Marketing Management (Retail),12,Bournemouth University,16500,0,0,0,1
824,Criminology and Sociology,12,Bangor University,18000,2.2,6,1,1
825,Communications Engineering,12,University of Birmingham,29340,2.1,6.5,1,1
826,Sports Injury Management,4,Leeds Beckett University,3500,2.2,6,0,0
827,Secondary Education - Physical Education with Mathematics,12,University of Wolverhampton,14950,0,6,0,1
828,Molecular Microbiology,12,Sheffield Hallam University,17205,2.1,6,1,1
829,SEN-ALN (Additional Learning Needs),12,University of South Wales,15100,1,6,1,0
830,Electrical and Electronic Engineering,48,University of Bristol,26000,2.1,6.5,1,1
831,Marketing,12,University of Bristol,32900,2.1,7,1,0
832,Law Research,12,Bangor University,16500,2.1,0,1,0
833,Fine Art - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,0
834,"Food Safety, Hygiene and Management",12,University of Birmingham,29340,2.1,6,1,0
835,Advanced Computer Science,12,Cardiff University,30200,0,0,1,0
836,International Mineral Law and Policy,12,University of Dundee,20900,2.2,6.5,0,1
837,Specialist Community Public Health Nursing - Health Visiting,12,Leeds Beckett University,0,2.2,6,0,1
838,Welsh Government and Politics,12,Cardiff University,0,0,0,0,0
839,Legal Practice Course,12,London Metropolitan University,12500,2.2,6,1,1
840,Professional Practice,12,University of South Wales,15100,0,6,1,1
841,Nuclear Medicine,36,University of the West of England (UWE Bristol),3000,0,6.5,0,1
842,Mentoring in Dental Practice,6,University of Central Lancashire (UCLan),1000,0,6.5,1,0
843,Design Innovation and Citizenship,12,The Glasgow School of Art,25000,0,0,0,0
844,Clinical Neuropsychology,12,University of Glasgow,28260,0,6.5,0,1
845,Sustainable Civil and Structural Engineering,12,University of Liverpool,28000,2.1,0,0,1
846,Theoretical Physics,12,University of Hertfordshire,16450,0,6.5,0,1
847,Analytical and Pharmaceutical Science - Pre-Master Programme,12,Loughborough University,23280,0,0,1,0
848,Information Technology and Intellectual Property Law,12,University of East Anglia,21200,2.2,6.5,1,0
849,Classics,12,University of Birmingham,21840,2.1,6.5,1,0
850,Sport and Physical Activity,24,Sheffield Hallam University,17205,0,6,0,1
851,Interpreting and Translating (Chinese),12,University of Bath,28300,2.1,7.5,0,1
852,Media and Advertising,12,University of Leicester,19750,2.1,6.5,1,0
853,Clinical Dentistry (Prosthodontics),36,Cardiff University,50700,0,0,1,1
854,Bioarchaeology - Zooarchaeology,12,The University of Exeter,24300,2.2,6.5,0,1
855,Personality Disorder (Research),36,University of Central Lancashire (UCLan),975,1,6.5,0,0
856,Secondary Science with Biology,12,London Metropolitan University,17600,2.2,6,1,1
857,Earth and Environmental Sciences,24,University of Portsmouth,19200,2.2,6.5,0,0
858,International Law,12,University of Westminster,17000,2.2,6.5,0,0
859,Television Fiction Writing,12,Glasgow Caledonian University,18950,2.2,7,1,0
860,Statistics and Operational Research,12,The University of Edinburgh,29900,2.1,6.5,0,0
861,Media Management,12,University of Glasgow,28260,2.1,6.5,0,0
862,Cultural Industries and Entrepreneurship,12,University of Nottingham,22600,2.1,7,1,0
863,Organisational Psychology,16,University of Essex Online,6213,0,6.5,1,1
864,Pharmaceutical Science and Drug Delivery Systems,12,London Metropolitan University,18150,2.2,6.5,0,1
865,Clinical Anatomy and Education,12,University of Hull,29400,2.1,6.5,1,0
866,Global Intercultural Communication,12,University of East Anglia,21200,2.1,6,0,1
867,Education (International),11,University of Nottingham,4666,2.2,6.5,0,1
868,Health Data Science,12,University of St Andrews,29950,2.1,7,0,1
869,Education with Placement Year,24,University of Hertfordshire,17950,2.2,6.5,0,0
870,Digital Business and Management,12,University of East Anglia,22700,2.1,6,1,1
871,General Law,12,Kingston University,16900,2.2,6.5,1,0
872,Cyber Security and Digital Forensics,12,Leeds Beckett University,17500,2.2,6,1,0
873,Television Journalism - Pre-Master's Programme,12,ONCAMPUS London,20580,0,5.5,0,1
874,Sport Psychology,12,Coventry University,18600,2.2,6.5,0,1
875,Teaching English to Speakers of Other Languages,12,University of Hertfordshire,16450,2.2,6.5,1,0
876,Robotics,12,University of Bristol,32900,2.1,6.5,0,1
877,Sports Medicine,12,University of Central Lancashire (UCLan),16900,2.2,6.5,0,0
878,Sustainable Food Systems,12,University of Liverpool,26400,2.1,0,0,1
879,International Medical Sciences,24,University of Central Lancashire (UCLan),0,2.2,6.5,1,0
880,International Security and Global Governance - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,1,1
881,English Literature,12,University of Bristol,20700,2.1,7.5,0,0
882,Palaeobiology,12,University of Bristol,29600,2.1,6.5,0,0
883,Architectural Technology and Design,24,Leeds Beckett University,5450,2.2,6,1,1
884,Construction Management with BIM,12,Coventry University,18600,0,6.5,0,1
885,Entrepreneurship and Innovation Management,12,University of Liverpool,27000,2.1,0,1,1
886,War Studies,12,University of Glasgow,24000,2.1,6.5,0,1
887,Plasma Surface Engineering,24,Sheffield Hallam University,17205,0,0,0,0
888,Banking and Debt Finance - Part-time,24,The University of Law,11350,2.2,0,1,1
889,International Development - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
890,Sustainable Chemistry,12,University of Birmingham,29340,0,0,0,1
891,Business Analytics and Management,12,University of East Anglia,22700,2.1,6,1,0
892,Public Policy,12,Leeds Beckett University,17500,2.2,6,0,0
893,Construction Project Management,12,University of Portsmouth,20800,2.2,0,1,0
894,Social Media and Political Communication - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
895,"Children, Youth and International Development - Pre-Master's Programme",12,"Birkbeck, University of London",19980,0,5.5,0,0
896,Drug Design and Biomedical Science,12,Edinburgh Napier University,18540,2.2,6,1,0
897,Electronic Engineering,12,Bangor University,21000,2.2,6,0,1
898,History By Research (On-Campus or By Distance Learning),12,University of Birmingham,21840,2.1,6.5,0,1
899,"International Events, Leisure and Tourism Management",12,London Metropolitan University,18150,2.2,6,1,1
900,International Business and Human Resource Management,12,Sheffield Hallam University,17205,0,6,1,1
901,International Business and Human Resource Management,12,Sheffield Hallam University,17205,0,6,0,0
902,Project Management,12,The University of Law Business School,17000,2.2,6.5,0,1
903,Public Health (part time),24,University of Dundee,10950,2.1,6.5,1,1
904,Clinical Sciences,12,University of Birmingham,27360,2.1,6.5,0,0
905,Investment Analysis - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,5,1,1
906,Global Literary Industries Management - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
907,Climate Justice,12,Glasgow Caledonian University,15500,2.2,6,0,1
908,Interactive Media (by research),12,University of York,22200,2.1,6,0,1
909,Music by Research,12,Bangor University,16500,1,0,0,0
910,Mathematics with Data Science for Industry,12,University of Bath,31600,1,6.5,0,1
911,Historic Building Conservation,12,Kingston University,16600,2.2,6.5,0,0
912,Spatial Planning and Development,12,Cardiff University,23450,0,0,0,0
913,Veterinary Microbiology,24,University of Liverpool,27800,2.1,0,1,0
914,Law General (AMIL) - Full-time (Online),4,The University of Law,3800,2.2,0,1,0
915,Sensor and Imaging Systems,12,University of Glasgow,30240,2.1,6.5,1,0
916,Sport Coaching,12,Leeds Beckett University,17500,2.2,6.5,1,1
917,Nuclear Decommissioning and Waste Management,12,University of Birmingham,29340,2.2,6,0,1
918,Architecture,24,Loughborough University,28750,2.1,0,0,0
919,Business and Organisational Psychology,12,University of Westminster,15000,2.2,6.5,1,1
920,Crisis and Disaster Management,12,University of Portsmouth,17900,2.2,0,0,1
921,Forensic Psychology,12,Coventry University,18600,2.2,6.5,0,1
922,Insurance Law - Part-time,24,"The University of Law, Postgraduate programmes",8500,2.2,0,1,0
923,Marketing,12,University of Liverpool,28000,2.1,0,0,1
924,International Events Management,12,Leeds Beckett University,17500,2.2,6,0,1
925,Food and Nutrition Sciences (Work Experience),24,Sheffield Hallam University,8602,2.2,0,0,0
926,Systemic Psychotherapy,24,Queen's University Belfast,21500,2.2,6.5,1,1
927,Legal Technology - Full-time (Online),8,The University of Law,3800,2.2,0,0,1
928,Archaeology,12,University of Glasgow,24000,2.1,7,0,1
929,Human Geography Research,12,University of Plymouth,17600,0,6.5,0,0
930,Film (Directing),12,University of South Wales,14950,2.2,6,1,1
931,Pharmacovigilance,60,University of Hertfordshire,1420,2.1,7,1,0
932,Public Policy,12,University of Bristol,28600,2.1,6.5,1,1
933,Finance - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,5,0,0
934,Legal Practice (SQE1 and 2) - Part-time evening,20,"The University of Law, SQE",7380,0,0,0,1
935,Environmental Geochemistry,12,University of Plymouth,19800,2.2,6.5,0,1
936,Advanced Practice,42,University of Dundee,3510,0,6.5,1,1
937,Applied Linguistics for Language Teaching - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
938,Islamic Studies,12,SOAS University of London,25320,2.2,6.5,1,0
939,"Gender, Sexuality in Global Politics (Online)",24,SOAS University of London,6000,2.1,6.5,1,1
940,Molecular Mechanistic Toxicology,12,University of Birmingham,27360,2.1,6,0,1
941,Laws,12,Leeds Beckett University,4200,0,0,1,0
942,Business Analytics,12,University of Nottingham,28600,2.1,6.5,0,1
943,Advanced Composites,12,University of Bristol,30900,2.1,6.5,0,1
944,Public Health with Advanced Research,24,University of Hertfordshire,18950,2.2,7,1,1
945,Medicinal Chemistry,12,Kingston University,18500,2.2,6.5,0,1
946,Digital Fashion,12,University for the Creative Arts,18000,0,0,1,1
947,Environment (by research),12,University of York,22200,0,6,1,1
948,Civil Engineering,12,Brunel University London,25000,2.2,6,0,0
949,Creative Industries and Cultural Policy,12,University of Glasgow,25290,2.1,6.5,0,0
950,Engineering Management,12,University of York,29400,2.1,6,0,1
951,"Accounting, Financial Management and Digital Business - Pre-Master's Programme",9,University of Reading,21600,0,5,1,1
952,Aerospace Engineering and Management,12,University of Glasgow,29370,2.1,6.5,0,1
953,Political Communication,12,University of Glasgow,25290,2.1,6.5,0,1
954,Statistics and Applied Probability,12,University of Nottingham,24000,2.2,6,0,1
955,Celtic Studies,12,University of Glasgow,24000,2.1,0,1,0
956,Occupational Therapy (Pre-registration),24,University of Central Lancashire (UCLan),16900,2.2,7,1,1
957,Financial Modelling and Investment,12,University of Glasgow,35640,2.1,6.5,0,0
958,Statistics and Computational Finance,12,University of York,32260,2.1,6,0,0
959,Research Methods in Psychology,12,University of St Andrews,29950,2.1,7,1,1
960,Intellectual History,12,University of St Andrews,25880,2.1,7,0,0
961,Criminal Justice,12,University of Central Lancashire (UCLan),16900,2.2,6.5,0,0
962,Data Analytics,12,London Metropolitan University,18150,2.2,6,1,1
963,Advanced Legal Studies,12,University of Reading,22350,2.1,6.5,1,1
964,Speech and Language Therapy,24,University of Reading,26950,2.1,6.5,1,1
965,Antiquity - Archaeology pathway,12,University of Birmingham,24120,2.1,6.5,1,1
966,Engineering Project Management (Learning at Work),0,University of Portsmouth,12000,0,6,0,0
967,Pharmaceutical Science,12,University of Greenwich,16300,2.2,6.5,0,0
968,Healthcare Management,12,University of Kent,22700,2.2,6.5,0,0
969,Marketing and Creativity,18,ESCP Business School,17133,0,7,0,0
970,Occupational Psychology,24,University of Leicester,5975,2.1,6.5,0,1
971,Communication,12,University of Westminster,17000,2.1,6.5,1,0
972,International Human Resource Management,12,University of Reading,22900,2.1,6.5,1,1
973,Interdisciplinary Study,12,University of Birmingham,23520,2.1,6.5,1,1
974,Data Science - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
975,Naval History (Distance Learning),12,University of Portsmouth,8900,2.2,6.5,1,0
976,Architecture,24,University of Liverpool,21850,2.1,0,0,1
977,Civil Engineering,12,University of Greenwich,16300,2.2,6,1,1
978,Specialised Translation,12,University of Westminster,15000,2.2,6.5,1,1
979,Education (Inclusive Education),12,University of Bristol,27200,0,0,1,0
980,Comparative Literature - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,0,0
981,Classics and Ancient History,12,University of Liverpool,21850,2.1,0,1,1
982,Computing and Informatics,24,Sheffield Hallam University,17205,0,6,1,1
983,Machine Learning and Autonomous Systems Including Placement Year,24,University of Bath,31600,2.1,6.5,1,1
984,Teaching English to Speakers of Other Languages,12,University of Bath,26500,2.1,6.5,1,0
985,Dance and Choreography,12,University of Derby,14900,1,6,0,0
986,Nursing Studies,36,University of Derby,2835,2.2,7,1,0
987,Electronic and Automotive Engineering,12,University of Huddersfield,17000,2.2,6,0,0
988,Project Management and Operations Management,12,University of Huddersfield,16000,2.2,6,0,0
989,Medical Ultrasound,12,Glasgow Caledonian University,15500,2.2,7,0,1
990,Care of the Older Person,24,Learna,4964,0,0,0,0
991,Gastroenterology,24,University of Liverpool,27800,2.1,0,1,0
992,Environmental Design of Buildings (3 year Distance Learning),36,Cardiff University,9400,2.1,6.5,1,1
993,"Law, Regulation, and the International Financial System",12,University of Greenwich,17450,2.2,6.5,0,1
994,Education (Leadership and Management),12,University of Huddersfield,16000,2.2,6,0,1
995,History by Distance Learning,24,University of Birmingham,5265,2.1,6.5,0,1
996,Actuarial Science with Data Analytics,9,University of Leicester,23650,2.1,6,0,1
997,Contemporary Identities,12,University of Bristol,27400,2.1,6.5,1,1
998,Master of Business Administration,12,University of Hertfordshire,16950,2.2,6.5,1,1
999,Political Psychology,12,Bournemouth University,16000,2.2,6.5,0,1
1000,International Human Rights Law,12,University of Huddersfield,16000,2.2,6,0,1
1001,"Strength, Conditioning and Performance",12,University College Birmingham,14500,2.2,6,1,0
1002,Literature in the Creative and Cultural Industries,12,University of York,23900,2.1,0,1,0
1003,Health Psychology,12,University of Nottingham,25250,2.1,6.5,0,0
1004,Medical Anthropology,12,Brunel University London,21260,2.2,6.5,0,0
1005,Economics and Public Policy,12,University of York,23900,2.1,6.5,0,0
1006,Engineering Control Systems and Instrumentation,12,University of Huddersfield,17000,2.2,6,0,0
1007,Social and Organisational Psychology,24,The University of Hertfordshire Online,4950,0,0,0,0
1008,Strategic Marketing,12,University of Greenwich,17275,2.2,6.5,1,1
1009,Big Data Technologies,12,University of Westminster,17000,2.2,6.5,0,1
1010,International Journalism,12,Cardiff University,22700,0,0,0,1
1011,Psychology of Education,12,University of Bristol,27700,2.1,6.5,0,0
1012,Advanced Manufacturing Engineering and Management - Pre-Master Programme,12,Loughborough University,23280,0,0,0,0
1013,Secondary Modern Languages,12,London Metropolitan University,17600,2.2,6,0,1
1014,Cognitive Neuroscience and Neuropsychology - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,0
1015,Organizational Behaviour - Pre-Master's Programme,12,"Birkbeck, University of London",20580,0,5.5,0,0
1016,Pre-Master's Programme - Humanities and Social Sciences,12,"Birkbeck, University of London",20580,0,5.5,0,0
1017,Advanced Professional Practice (Part time),36,University of East Anglia,21200,2.2,6.5,1,1
1018,Law,12,University of Liverpool,13600,2.2,0,0,0
1019,Epidemiology,12,University of Bristol,31300,2.1,7,0,1
1020,Maritime History,12,University of Plymouth,17600,0,6.5,0,0
1021,Innovation Management and Entrepreneurship,12,Kingston University,18900,2.2,6.5,1,1
1022,Organisational Psychology,24,University of Essex Online,6214,0,6.5,1,1
1023,Global Health - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,0,0
1024,Public Policy and Management,12,SOAS University of London,25740,2.2,6.5,1,1
1025,"Conflict, Development and Peacebuilding",12,School of Politics and International Studies,0,2.1,6.5,1,1
1026,Human Resource Management,12,Richmond American University in London,17325,2.2,0,1,0
1027,Light and Lighting,12,UCL,34400,2.2,7,0,1
1028,Cinematic and Videogame Architecture,12,UCL,37500,2.2,0,1,1
1029,Nursing and Midwifery,12,University of Huddersfield,16000,2.1,0,0,0
1030,Spanish,24,University of Dundee,2690,0,6.5,0,0
1031,Digital Design and Branding,12,Brunel University London,25000,2.2,6,1,0
1032,Innovation and Entrepreneurship,12,University of Bristol,34000,2.1,6.5,0,0
1033,Master of Business Administration (Online),24,University of Hertfordshire,1070,0,6.5,1,0
1034,Outdoor Environmental Education,12,University of Hertfordshire,16450,2.2,6.5,0,0
1035,Clinical Embryology and In Vitro Fertilisation (distance learning),36,University of Dundee,4725,2.1,0,1,1
1036,Editing and Post Production (EPP),12,London South Bank University,16900,2.2,6.5,1,1
1037,Innovation Management and Entrepreneurship (Distance Learning),24,University of Portsmouth,4700,2.2,6,1,1
1038,Events and Experience Management,12,Coventry University,20050,2.2,6.5,0,0
1039,Art Psychotherapy,24,Brunel University London,23615,2.2,7,1,1
1040,Urban Research,12,University of Glasgow,24000,2.1,6.5,0,1
1041,Mathematical Finance,12,The University of Exeter,29100,2.2,0,0,0
1042,Filmmaking - Pre-Master's Programme,12,ONCAMPUS London,20580,0,5.5,1,0
1043,Space Engineering,12,University of Birmingham,29340,0,0,1,0
1044,Clinical Embryology and In Vitro Fertilisation (distance learning),12,University of Dundee,4725,2.1,6.5,1,1
1045,Sport and Exercise Science and Medicine,36,University of Glasgow,5000,2.2,6.5,1,0
1046,Innovation and Technology Management,12,University of Bath,29000,2.2,6.5,0,0
1047,Sustainable Water Environments,12,University of Glasgow,28260,2.1,6.5,1,1
1048,Bioinformatics,12,University of Nottingham,28600,2.1,6.5,1,0
1049,Secondary History with Qualified Teacher Status,12,Sheffield Hallam University,17205,2.2,7,1,0
1050,Economics,12,University of Liverpool,25000,2.1,0,1,0
1051,Chartered Banker,12,Bangor University,18500,2.2,0,0,0
1052,Genomic Medicine,12,University of Birmingham,24120,2.1,6.5,1,1
1053,Music,12,Cardiff University,22700,0,0,0,1
1054,International Development,24,University of Bath,13250,2.1,6.5,1,1
1055,Interpreting and Translating (French and Italian),12,University of Bath,28300,2.1,7.5,0,1
1056,Global MBA (Financial Management),18,London School of Business and Finance,6000,3.2,5.5,1,1
1057,Master of Business Administration,12,University of Westminster,19000,2.2,6.5,0,1
1058,International MBA,30,University of Reading,156200,0,7,1,1
1059,Ecological Survey Skills with Placement,12,University of Reading,22350,2.1,6.5,0,0
1060,Education (Social Justice),12,University of Birmingham,23310,2.1,6.5,1,1
1061,Character Education,36,University of Birmingham,7770,2.1,6.5,0,0
1062,Language and Linguistics,12,Cardiff University,22700,0,0,0,0
1063,Business Analytics and Finance - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,1
1064,Research Methods in Psychology - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,0,0
1065,Synthetic Biology,12,UCL,37500,2.1,6.5,1,1
1066,Secondary Geography with Qualified Teacher Status,12,Sheffield Hallam University,17205,2.2,0,1,1
1067,International Law,12,University of Reading,22350,2.1,6.5,0,1
1068,Pre-Master's Programme - Economics,9,University of Reading,21600,0,5,1,1
1069,German Studies,12,University of Birmingham,21840,2.1,6.5,0,0
1070,Social Policy,12,University of Central Lancashire (UCLan),16900,2.2,6.5,0,1
1071,History - Pre-Master Programme,12,ONCAMPUS London,20580,0,5.5,1,0
1072,International Marketing (Dual Degree),12,Edinburgh Napier University,17090,2.2,0,0,0
1073,Applied Mathematics,12,University of Birmingham,21360,2.1,6,1,0
1074,Music Engineering and Production,12,University of South Wales,14950,2.1,6,1,1
1075,Applied Human Rights,12,University of York,23900,2.2,6.5,0,1
1076,Conservation of Historic Buildings,12,University of York,23900,2.1,6.5,1,1
1077,Advanced Professional Practice in Physiotherapy,12,University of Plymouth,19000,2.2,6.5,0,0
1078,Biomedical Sciences (Cellular Pathology),12,University of Westminster,17000,2.2,6.5,1,0
1079,"Religion, Politics and Society",12,University of Birmingham,24120,2.1,6.5,1,1
1080,Global Plant Health,12,University of East Anglia,33150,0,6.5,0,0
1081,Character and Creature Animation,24,The University of Hertfordshire Online,4950,0,0,1,1
1082,Software Development,12,Queen's University Belfast,25800,2.2,6,0,0
1083,Creative Writing,12,Edinburgh Napier University,17280,2.2,6,1,1
1084,Health Psychology,12,University of Westminster,17000,2.1,7,0,0
1085,"Law, Innovation and Technology",12,University of Bristol,26700,2.1,0,0,0
1086,Psychodynamics of Human Development - Pre-Master's Programme,6,"Birkbeck, University of London",20580,0,5.5,0,0
1087,Biomedical Science,12,University of Wolverhampton,15950,2.2,6.5,0,1
1088,History of Art (Modern and Contemporary Art),12,University of York,23900,2.1,6.5,0,1
1089,Organised Crime and Global Security,12,London Metropolitan University,18150,2.2,6,1,1
1090,Secondary Education - Physical Education with English,12,University of Wolverhampton,14950,0,6,0,1
1091,Psychology of Mental Health,12,London Metropolitan University,18150,2.2,6.5,1,1
1092,Management and Leadership,12,Leeds Beckett University,17500,2.2,6,1,0
1093,"International Development, Social Justice and Sustainability",24,University of Bath,13250,2.1,6.5,1,0
1094,Data Science,12,Kingston University,18500,2.1,6.5,0,0
1095,Global Urbanism,12,UCL,31100,2.1,7,1,0
1096,International Human Resource Management,12,University of Westminster,14000,2.2,6.5,0,0
1097,Strategic Communication,12,Loughborough University,24500,2.2,6.5,0,0
1098,Sustainable Development,12,The University of Exeter,27500,2.1,6.5,1,1
1099,Town and Regional Planning,12,University of Liverpool,22400,2.1,0,0,1
1100,Creative Writing and Publishing,12,Bournemouth University,17000,2.2,6.5,0,0
1101,Modern History,12,University of York,23900,2.1,7,0,0
1102,Sport and Exercise Psychology,12,Loughborough University,29750,2.1,6.5,0,1
1103,International Business,12,University of Birmingham,35850,2.1,7,1,1
1104,History (Local History),12,University of Leicester,17500,2.1,6.5,0,0
1105,Career Development and Employability,12,University of Huddersfield,4600,0,0,0,0
1106,International Events Management (Work Experience Route),24,Sheffield Hallam University,17205,0,6,0,0
1107,Tourism Development and Culture,24,University of Glasgow,16860,2.1,6.5,0,0
1108,Mechanical and Manufacturing Engineering,12,University of Derby,14900,2.2,6.5,0,0
