Domain,Uni Name,Description
Secondary Music,University of Huddersfield,"6,173,302 PKR / year
1 year
If you’ve got an undergraduate degree and are striving to become a secondary school Music teacher, then studying our Secondary Music PGCE with QTS from University of Huddersfield will help you on your way. You’ll develop your subject specialist knowledge alongside hands-on classroom experience."
Global MBA,University of Hull,"6,980,041 PKR / year
1 year
The Global MBA at the University of Hull is shaping, inspiring and equipping the new generation of socially responsible leaders to manage ever more complex challenges in a Net Zero and digitally transformed world."
Social Science Research (Sport and Exercise Science) - Pre-Master Programme,Loughborough University,"8,165,595 PKR / year
1 year
The Social Science Research (Sport and Exercise Science) - Pre-Master Programme at ONCAMPUS Loughborough is a two-semester programme with guaranteed progression* to a wide range of Master’s degrees at Loughborough University."
Education,University of Bristol,"9,540,558 PKR / year
1 year
This Education programme from University of Bristol will appeal to those who are interested in developing a career in educational research, as well as professionals working in education institutions or organisations that require research knowledge and skills."
Virtual and Immersive Reality,University for the Creative Arts,"6,313,605 PKR / year
1 year
The University for the Creative Arts offers an advanced Virtual and Immersive Reality MA program, where students can immerse themselves in the world of virtual reality (VR) and immersive technology, exploring cutting-edge applications in various fields."
Forensic Science and Criminal Justice (Distance Learning),University of Leicester,"1,543,326 PKR / year
2 years, 3 months
From fingerprint corrosion to blood splatter, police investigations often hinge on the correct evaluation and interpretation of forensic evidence. In this Forensic Science and Criminal Justice (Distance Learning)  degree at University of Leicester, you’ll gain the advanced skills needed to make an impact out in the field."
"Environment, Culture and Communication",University of Glasgow,"8,418,139 PKR / year
1 year
This Environment, Culture and Communication programme from University of Glasgow explores the relationships we hold with our ‘wild’ environments, and how these evolved."
Computer Science with Artificial Intelligence,The University of Hertfordshire Online,"1,578,401 PKR / year
2 years
Throughout this Computer Science with Artificial Intelligence MSc programme from the University of Hertfordshire you'll realise AI's potential to ignite endless possibilities"
Finance and Global Trading,Loughborough University,"9,996,541 PKR / year
1 year
Explore the complexities of finance theory and gain real-world financial trading experience on this unique Finance and Global Trading programme taught at Loughborough University ."
Accounting and Financial Management - Pre-Master Programme,ONCAMPUS London,"7,218,555 PKR / year
1 year
This Accounting and Financial Management - Pre-Master Programme from ONCAMPUS London is designed to prepare international students for postgraduate study at Royal Holloway University of London."
Development Sciences - Pre-Master's Programme,"Birkbeck, University of London","7,008,101 PKR / year
1 year
This Development Sciences - Pre-Master's Programme from ONCAMPUS London is designed to prepare international students for postgraduate study at the Birkbeck, University of London."
Strategic Management,University of Derby,"1,104,881 PKR / year
1 year
Strategic Management at University of Derby offers a strong foundation in the formulation and execution of business strategies in a global context, helping you to shape and lead innovative and entrepreneurial strategies for organisational success. This is a one-year course which is perfect for continuing professional development at level 7."
"Contemporary European Studies, Politics, Policy and Society (Euromasters)",University of Bath,"2,762,202 PKR / year
2 years
Immerse yourself in the politics, policy and social evolution of the EU and European states with the Contemporary European Studies, Politics, Policy and Society (Euromasters) course from University of Bath  You’ll study at Bath and in Europe."
Mechanical Engineering Design with Management,University of Liverpool,"9,821,163 PKR / year
1 year
The Mechanical Engineering Design with Management programme from University of Liverpool aims to develop student’s academic knowledge and technical engineering skills with the integration of creative, problem-solving design elements within a business context."
Maritime Engineering Science - Naval Architecture - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The Maritime Engineering Science - Naval Architecture - Pre-Master's Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Master?s degrees at the University of Southampton."
Secondary English with Drama,London Metropolitan University,"6,173,302 PKR / year
1 year
This Secondary English with Drama course from London Metropolitan University will train you to teach 11 to 16-year-olds and, by arrangement, can also give you additional experience in the post-16 age group."
"Sport, Health and Exercise Sciences",Brunel University London,"8,768,895 PKR / year
1 year
The Sport, Health and Exercise Sciences programme from Brunel University London is aimed at graduates with a background in sports science who want to build on their existing knowledge with advanced study in the specialist areas of human performance and sports psychology."
Human Nutrition,University of Plymouth,"6,664,360 PKR / year
1 year
This Human Nutrition MA course from University of Plymouth offers you an advanced understanding of nutrition and the links between diet and health. Core nutrition science will underpin a critical evaluation of the role of nutrition in public health at the local, national and international level."
International Security Studies,University of Reading,"7,839,392 PKR / year
1 year
Examine current and important issues in international security politics with  International Security Studies degree offered at the University of Reading."
Medical Physics,University of Glasgow,"12,500,937 PKR / year
1 year
The aim of the Medical Physics programme of the University of Glasgow is to provide an understanding of the application of physics and technology to a range of disciplines within medical physics at a level appropriate for a professional physicist and to equip you for employment in a clinical environment."
Psychology,University of Birmingham,"8,249,777 PKR / year
1 year
The Psychology programme at University of Birmingham offers excellent research opportunities across a breadth of Psychological themes, supported by links with local and international institutions, hospitals, schools, nurseries, industry and governmental departments."
International Events Management,Leeds Beckett University,"6,138,227 PKR / year
1 year
Providing a sound theoretical underpinning of the cultural, political, ethical and economic aspects of the sector, this International Events Management course from Leeds Beckett University will develop the practical and strategic knowledge required to run international events effectively."
Special Education Needs Co-Ordination,Leeds Beckett University,"964,578 PKR / year
9 months
The Special Education Needs Co-Ordination from Leeds Beckett University is also highly relevant to inclusion and special educational needs leaders and managers who wish to improve the quality of inclusion and special educational needs and disability provision in their setting, whether they are working in the UK or abroad."
Communication Design - Book Design,University of Reading,"7,839,392 PKR / year
1 year
This Communication Design - Book Design MA programme from the University of Reading combines practical design for printed books and digital publishing platforms with related theory and history of typographic design and visual culture."
"Journalism, Media and Communications",Cardiff University,"7,962,157 PKR / year
1 year
The Journalism, Media and Communications programme at Cardiff University provides insight into how journalism and the media is changing in a globalised context – from journalism ethics to internet governance, from community media to global communications and from crisis reporting to the transformative potential of new technologies."
Secondary Education (QTS) - Geography,University of Birmingham,"8,460,230 PKR / year
8 months
The Postgraduate Certificate in Secondary Education (QTS) - Geography. The specialist programme from University of Birmingham, which offers high quality training and support, will prepare you to teach in the 11-18 age range and is run in close partnership with schools."
History,The University of Edinburgh,"10,101,767 PKR / year
1 year
This comprehensive History programme offered by The University of Edinburgh allows you to take full advantage of the breadth of our research expertise."
Clinical Trials (Online Learning),The University of Edinburgh,"2,234,315 PKR / year
3 years
The Clinical Trials (Online Learning) programme offered by The University of Edinburgh will support the demand for appropriately qualified health professionals to lead clinical trials of all phases. It is suitable for graduates in medicine, nursing, pharmacy, life sciences and other allied disciplines involved in Clinical Trials."
Architectural History,UCL,"12,066,000 PKR / year
1 year
This Architectural History programme offered at the UCL explores what history can do for architecture. It examines architecture, not just as autonomous buildings, cities or designs, but through the society in which they are located and the ideas and debates they give rise to."
Food Science and Nutrition,University of Leeds,"Tuition unknown
1 year
This Food Science and Nutrition MSc programme from University of Leed will put you at the forefront of finding these solutions."
Financial Economics,University of York,"11,315,382 PKR / year
1 year
This Financial Economics MSc course from the University of York will provide you with the essential skills you need to follow professional careers in these areas or to pursue further research."
International Business (Professional Practice),University of Huddersfield,"6,559,134 PKR / year
1½ year
The M.Sc. in International Business (Professional Practice) at University of Huddersfield will give you the opportunity to gain an in-depth understanding of the rapidly changing and dynamic international environment, as well as various cross border business activities."
Museum Studies - Hong Kong (Distance Learning),University of Leicester,"6,383,756 PKR / year
1½ year
This Museum Studies - Hong Kong (Distance Learning) degree at the University of Leicester is for you if you are based in, or near, Hong Kong and you want to gain the knowledge and skills you need to develop your career in the museum and galleries profession."
Psychological and Psychiatric Anthropology,Brunel University London,"7,457,068 PKR / year
1 year
If studies of the mind and mental health interest you, this socially and culturally focused Psychological and Psychiatric Anthropology course from Brunel University London, may provide a rich alternative to more scientific studies in psychology and psychiatry."
Archaeology by Reseach,The University of Exeter,"7,927,081 PKR / year
2 years
This Archaeology by Reseach MA program from The University of Exeter covers human origins through to the recent past, and is characterised by theoretically informed field-based approaches and a strong commitment to methodological innovation."
Ocean Sciences Research,Bangor University,"6,576,671 PKR / year
1 year
The Ocean Sciences Research degree from Bangor University, is a one-year full-time research programme that differs from a taught Masters programme by placing more emphasis on research, and by being examined much more like a PhD, by viva voce (oral) examination, rather than by grading of coursework and dissertation."
Creative Practice,Bangor University,"5,612,093 PKR / year
1 year
This Creative Practice degree from Bangor University, draws on and draws together our strong focus on the synthesis of critical/theoretical work and practice. In the first semester you will take modules in creativity and research and in media theory, before embarking on the production of a substantial practice-based dissertation under the supervision of a specialist member of staff."
Medical Education,University of Nottingham,"8,856,584 PKR / year
1 year
The Medical Education MMedSci programme from the University of Nottingham is the perfect way to give you the skills and understanding of education to help you support your learners if you are interested in teaching the medical and healthcare professionals of tomorrow."
Archaeology,University of Liverpool,"7,664,014 PKR / year
1 year
The Archaeology programme from University of Liverpool provides a personalised and focused introduction to postgraduate research allowing you to develop as an independent researcher with the support of an expert in Archaeology."
Theology and the Arts,University of St Andrews,"9,077,560 PKR / year
1 year
The MLitt in Theology and the Arts at the University of St Andrews gives students a theoretically inflected and historically contextualised introduction to the field of theology and the arts, acting as a stand-alone Master’s course or a stepping stone for those considering doctoral research in the field."
Audio Engineering,University of Derby,"5,226,262 PKR / year
1 year
Underpinned by pioneering research, excellent teaching and first-rate facilities, the Audio Engineering programme from University of Derby equips you with the skills and knowledge valued most by employers in the rapidly changing and dynamic field of audio engineering."
Biochemistry,University of Bristol,"9,119,651 PKR / year
2 years
We take great pride in the standard of our postgraduate provision and offer both three- and four-year PhD programmes. It is also possible to pursue a MD degree, or a one-year MSc by Research degree. The Biochemistry programme is offered at the University of Bristol."
Insurance Law - Part-time,The University of Law,"2,981,424 PKR / year
2 years
The LLM Insurance Law - Part-time from the new Master's in Law suite of programmes offered by The University of Law is designed for law and non-law graduates who want to explore the practical application of a particular, specialist area of the law."
Human Factors in Aviation,Coventry University,"6,524,058 PKR / year
2 years
This Human Factors in Aviation course at Coventry University is informed by the academic and professional disciplines of Ergonomics, Human Factors and Psychology. The course aims to provide a thorough introduction to the field of human factors, and its application in an aviation context."
"Earth Futures - Environments, Communities, Relationships",University of Glasgow,"9,912,359 PKR / year
1 year
The Earth Futures - Environments, Communities, Relationships programme of the University of Glasgow is an interdisciplinary programme that bridges knowledge across the social and physical sciences. It aims to equip students with the expertise, experience and skills to tackle the environmental and societal challenges of sustainable development in the anthropocene."
Historical Studies,University of York,"8,383,064 PKR / year
1 year
Throughout this Historical Studies MA course from the University of York you'll explore a tailored programme and experience the depth of studying history with international experts."
Financial Economics,University of York,"11,315,382 PKR / year
1 year
This Financial Economics MSc course from the University of York will provide you with the essential skills you need to follow professional careers in these areas or to pursue further research."
Data Science and Artificial Intelligence (Online),University of Liverpool,"5,634,892 PKR / year
2½ years
The University of Liverpool offers a degree in Data Science and Artificial Intelligence (Online). Designed for students from a non-computing background, this programme will develop your key knowledge and technical skills that you can apply immediately in the workplace."
Research Methods in Psychology,University of Plymouth,"6,173,302 PKR / year
1 year
Through the Research Methods in Psychology MSc programme from Plymouth University you'll carve out your future career in psychological research or practice with instruction in the advanced theory and methods that underpin psychological science."
Finance,Cardiff University,"10,242,070 PKR / year
1 year
Challenge yourself on this practice-focused Finance programme from Cardiff University and develop the confidence, knowledge and skills for a successful career in finance."
Sustainable Engineering,University of Bristol,"10,838,354 PKR / year
1 year
The MSc in Sustainable Engineering programme from University of Bristol is designed for graduates who wish to deepen thorough knowledge of the subject through a one-year taught programme that culminates in a supervised, research-based dissertation."
Sport Marketing,Loughborough University,"10,698,052 PKR / year
1 year
The MSc in Sport Marketing programme from Loughborough University will provide you with a robust understanding of the key principles of marketing, whilst delivering the latest best-practice from industry so that you can compete as a marketer in the fast-paced and ever-evolving sport business sector."
Pharmacology and Drug Development,University of Hull,"10,312,221 PKR / year
1 year
The Msc Pharmacology and Drug Development degree from The University of Hull is aimed at aspiring clinical researchers, as well as those wishing to gain a deep understanding of the underlying principles of ‘how drugs work’ and ‘how to develop new drugs’."
Quantum Technology,University of Glasgow,"9,912,359 PKR / year
1 year
The Quantum Technology programme of the University of Glasgow will provide training in the emerging area of quantum technologies, giving students advanced training in the relevant physics and engineering, while acquiring key skills in micro/nanofabrication. This MSc is underpinned by Glasgow leadership in the UK’s Quantum Technology programme."
Law - Banking and Finance Law,University of Bristol,"9,365,180 PKR / year
1 year
This Law - Banking and Finance Law programme offered at the University of Bristol provides you with an opportunity to access a highly sought-after, technically complex and constantly evolving area of law - and graduate to meet a growing demand for expert lawyers that can embrace challenges and innovation whilst ensuring businesses are financially and legally robust."
Criminology,University of Leicester,"6,646,823 PKR / year
1 year
This Criminology in Practice programme offered at the University of Leicester is for you if... you want to combine academic criminological study with employability modules and the change to undertake a work placement and practice-based research project in a criminal justice or related setting."
Geospatial and Mapping Sciences,University of Glasgow,"9,912,359 PKR / year
1 year
The Geospatial and Mapping Sciences programme at the University of Glasgow focuses on understanding the theory and practice of geospatial data collection and management. Topics covered include land, engineering and hydrographic surveying, data and geospatial information quality."
Textile Conservation,University of Glasgow,"9,501,975 PKR / year
2 years
The Textile Conservation programme of the University of Glasgow is a multidisciplinary subject which combines academic knowledge with cultural awareness, aesthetic sensitivity and technical skill."
Geomatics and Management,University of Glasgow,"10,606,856 PKR / year
1 year
The Geomatics and Management programme at the University of Glasgow is aimed at graduates in geomatics (surveying and mapping). It will enhance your career progression in the field of geomatics, and provide you with the necessary skill set to succeed in managerial positions. The combination of geomatics with management offered by this programme has been strongly endorsed by industry."
Banking and Debt Finance - Part-time,The University of Law,"3,981,078 PKR / year
2 years
The Banking and Debt Finance - Part-time programme is offered by The University of Law."
IT Security,University of Central Lancashire (UCLan),"5,927,773 PKR / year
1 year
We need to respond to more threats from illegal or unwanted activities as we increase our use of communication technology and information-based applications. The IT Security programme from University of Central Lancashire (UCLan) will develop your computing skills in the theory and practice of computer security."
Chartered Banker,Bangor University,"6,488,982 PKR / year
1 year
The Chartered Banker MBA offered at Bangor University is the only qualification in the world where you can simultaneously obtain an MBA together with the prestigious Chartered Banker status."
Nuclear Decommissioning and Waste Management,University of Birmingham,"10,291,175 PKR / year
1 year
The Nuclear Decommissioning and Waste Management programme from University of Birmingham effectively prepares you for a career in the nuclear industry, supporting you to develop the scientific understanding and practical skills to address the challenges in this area."
"Sustainability, Entrepreneurship and Design",Brunel University London,"8,283,098 PKR / year
1 year
The MSc in Sustainability, Entrepreneurship and Design offered by Brunel University London will provide you with the skills across the disciplines of science, engineering design and business to be a part of this market and to become leaders and innovators in the context of environmental awareness."
Sustainable Aquaculture and Fisheries,University of Plymouth,"6,944,965 PKR / year
1 year
Through this Sustainable Aquaculture and Fisheries MSc programme from University of Plymouth you'll discover the scientific rationale for improving aquatic animal health and production, reducing environmental impact, and addressing the socio-economic factors."
Sport and Exercise Medicine,Leeds Beckett University,"4,091,567 PKR / year
1 year
This Sport and Exercise Medicine course from Leeds Beckett University will enable you to use science and medicine to help top athletes recover from injury and reach their physical peak, and aid the general population in maintaining healthy exercise lifestyles."
Social Anthropology and Intensive Language (Japanese),SOAS University of London,"8,881,137 PKR / year
2 years
Are you interested in how different people around the world do things differently? Have you ever questioned the taken for granted assumptions about what is “normal” behaviour in your culture, your workplace, or in powerful institutions? If so, then Social Anthropology and Intensive Language (Japanese) programme from SOAS University of London is the subject for you."
Learning Technologies (Distance Learning),University of Leicester,"1,648,552 PKR / full
9 months
Learning Technologies (Distance Learning) from University of Leicester is for you if... you work in education at any level and you wish to develop your understanding of the latest developments in technology-enhanced learning."
"Finance, Investment and Risk",University of Kent,"7,015,116 PKR / year
1 year
Study our CFA and GARP-accredited MSc Finance, Investment and Risk course at University of Kent to gain a strong knowledge of financial, risk and investment management principles and techniques, and the confidence necessary to work the trading floor via our real-life simulator, the Bloomberg Lab alongside the option to take an exciting Industrial Placement."
Advanced Power Engineering,The University of Edinburgh,"9,237,154 PKR / year
2 years
The programme in Advanced Power Engineering from The University of Edinburgh will expand your knowledge of both traditional and renewable power sources and will explore efficient and sustainable methods of power production."
Medical Law and Ethics,The University of Edinburgh,"9,575,634 PKR / year
1 year
Throughout this Medical Law and Ethics LL.M programme from The University of Edinburgh as a student you will examine topics that reflect some of the main contemporary legal and ethical challenges faced by those working in healthcare and health research, and place them in their social and historical context."
"Conflict, Governance and Development",University of York,"8,383,064 PKR / year
1 year
This Conflict, Governance and Development course from University of York combines a strong focus on the major theories of development with empirical analysis of the experiences of particular countries and regions."
Ceramics,University for the Creative Arts,"6,313,605 PKR / year
1 year
The University for the Creative Arts offers a stimulating Ceramics MA program, where students can immerse themselves in the world of ceramic arts and pottery."
Marketing - Pre-Master's Programme,University of Reading,"7,576,325 PKR / full
9 months
This Digital Marketing - Pre-Master's Programme from ONCAMPUS Reading is designed to prepare international students, who have completed a Bachelor's degree, for entry to postgraduate studies at the University of Reading."
Strength and Conditioning,Coventry University,"6,524,058 PKR / year
1 year
Successful completion of the MSc in Strength and Conditioning course at Coventry University will equip you with the key underpinning scientific knowledge, skills, and professional competencies commonly required to be a Strength and Conditioning Coach."
Classics,University of St Andrews,"9,077,560 PKR / year
1 year
The MLitt in Classics at the University of St Andrews is an intensive taught programme, designed primarily as a preparation for further research. The course allows you to specialise in a wide range of areas, including: Greek or Latin literature, ancient history, classical archaeology, reception studies, and ancient philosophy."
Human Factors and Ergonomics for Patient Safety,Loughborough University,"3,285,179 PKR / year
1 year
Our PG Certificate Human Factors and Ergonomics for Patient Safety programme from Loughborough University  provides an insight into human factors, focusing on the promotion of patient safety in the healthcare sector. It also concentrates on investigations relevant to understanding and intervening in these situations, with the view to improving conditions for those exposed."
Animation,University of Central Lancashire (UCLan),"5,436,715 PKR / year
1 year
The Animation course from University of Central Lancashire (UCLan) will enable you to enhance your animation skills under the supervision of industry professionals. Whether you’re looking to create brilliant character animation, an outstanding animated film, or develop amazing sound design skills, we’ll help you to master your craft."
Applied Data Science (Renewable Energy),The University of Exeter,"9,645,785 PKR / year
1 year
The Applied Data Science (Renewable Energy) MSc programme from The University of Exeter based at our stunning Penryn Campus in Cornwall this interdisciplinary is run jointly between the departments of Mathematics and Renewable Engineering."
Linguistics (by research),University of York,"8,383,064 PKR / year
1 year
The Linguistics (by research) programme from University of York is a research qualification open only to candidates who already have a sound grasp of linguistics and some specialised knowledge in the sub-field in which they intend to work."
Social Science Research Methods (Social-Legal) (Law),Cardiff University,"8,137,535 PKR / year
1 year
Social Science Research Methods (Social-Legal) (Law) from Cardiff University will provide you with advanced training in research methods across the full range of the social sciences. All course pathways have ESRC recognition and meet the training requirements for ESRC PhD funding."
Chemical Biology,University of Glasgow,"9,912,359 PKR / year
1 year
The Chemical Biology programme of the University of Glasgow is a joint programme between the Institute of Molecular, Cell and Systems Biology (IMCSB) and the School of Chemistry (SoC). It will provide advanced training in the areas of synthetic chemistry, biologically active molecules, and detailed knowledge of the biophysical characterisation techniques that can be used to examine these systems."
Clinical Critical Care,University of Glasgow,"1,753,779 PKR / year
3 years
Critical Care is a term that is repeated daily in the media. It is the specialty we practice and are passionate about, and the area of health care we are dedicated to teaching at the Clinical Critical Care programme of the University of Glasgow."
Engineering Project Management (Learning at Work),University of Portsmouth,"Tuition unknown
Duration unknown
On this MSc Engineering Project Management (Learning at Work) course at the University of Portsmouth, you'll tailor your learning to suit your professional and personal development aspirations, and gain the skills required to further your engineering career, at a time when engineering skills are in high-demand – and many exciting, well-paid careers are available, both in the UK and overseas."
Occupational Health and Safety Management (Learning at Work),University of Portsmouth,"Tuition unknown
Duration unknown
Do you want to boost your career prospects by studying for an occupational health and safety management Master's degree alongside your current job? On this MSc Occupational Health and Safety Management (Learning at Work) course from University of Portsmouth, you can specialise and enhance your current knowledge, and develop a more strategic view of organisational management and behaviour."
Consumer and Digital Marketing Analytics,Bangor University,"6,839,738 PKR / year
1 year
The MSc in Consumer and Digital Marketing Analytics from Bangor University provides the opportunity to develop knowledge, understanding and skills across the marketing function, including: brand management and loyalty, consumer behaviour, marketing communications, digital marketing and customer insight in national and international settings."
Italian Studies,University of Birmingham,"7,660,507 PKR / year
1 year
Researchers in Italian Studies at University of Birmingham have the opportunity to explore how the study of languages, discourses, and cultures challenges how we understand and experience the world."
Education,University of Bath,"7,856,930 PKR / year
2 years
Develop in-depth knowledge and skills of research methods. Prepare yourself for an academic or professional career with a focus on social science research with this MRes in Education from University of Bath."
SEND and Inclusion,University of Hertfordshire,"5,419,177 PKR / year
1 year
The SEND and Inclusion programme from University of Hertfordshire supports you in developing your knowledge and understanding of issues and practice through enquiry and research."
Microelectronic Systems with a Year in Industry,University of Liverpool,"9,821,163 PKR / year
2 years
On this well-established Microelectronic Systems with a Year in Industry programme from University of Liverpool you will develop advanced knowledge and skills in key aspects of telecommunications and wireless systems."
Storytelling - Pre-Master Programme,Loughborough University,"8,165,595 PKR / year
1 year
The Storytelling - Pre-Master Programme from ONCAMPUS Loughborough  is a two-semester programme with guaranteed progression* to a wide range of Master’s degrees at Loughborough University."
International Energy Dispute Resolution and Avoidance,University of Dundee,"7,681,552 PKR / year
1 year
Gain the skills to mediate disputes around energy, and learn to avoid them through contract design and pre-arbitration resolution through this LLM International Energy Dispute Resolution and Avoidance from University of Dundee."
Chemistry,University of Huddersfield,"6,559,134 PKR / year
1 year
A Master's by Research (MSc) in Chemistry from University of Huddersfield allows you to undertake a one year (full-time) research degree. It contains little or no formal taught component. This type of study gives you the chance to explore a research topic over a shorter time than a more in-depth doctoral programme."
Clinical Pharmacy Practice with Community Placement,University of Huddersfield,"6,944,965 PKR / year
1 year
The M.Sc. in Clinical Pharmacy Practice with Community Placement at University of Huddersfield offers a unique blend of knowledge and training with practical experience adapted for the most popular career pathways in the pharmacy profession."
Project Management Online,The University of Law Business School Online,"3,963,541 PKR / year
1 year
This Project Management Online, M.Sc.degree from The University of Law Business School has a strong focus on employability and provides students with knowledge and understanding of the key aspects of project management."
Computer Science with Data Analytics,University of York,"3,156,802 PKR / year
2 years
The 100% online Computer Science with Data Analytics programme from University of York is designed for working professionals and graduates who may not have an academic background in computer science or data analytics and want to start a career in this fascinating and lucrative field."
Biomedical Engineering,University of Liverpool,"9,821,163 PKR / year
1 year
This Biomedical Engineering programme from University of Liverpool combines academic expertise from Engineering, Physics and the Faculty of Health and Life Sciences and offers the ideal opportunity to specialise in biomedical engineering and contribute towards the future development of artificial organs, medical devices and novel treatments."
Physician Associate Studies,University of the West of England (UWE Bristol),"5,683,296 PKR / year
2 years
This MSc Physician Associate Studies course from University of the West of England (UWE Bristol) has been developed in line with professional standards underwritten by the Faculty of Physician Associates at the Royal College of Physicians. It will equip you with the broad range of clinical skills, knowledge and professional attitudes required to practice in the medical field."
Medieval History (Part time),University of East Anglia,"7,436,023 PKR / year
2 years
Taught by internationally recognised scholars, the Medieval History (Part time) course at the University of East Anglia will help you get to grips with the major themes in political, ecclesiastical, social and cultural history of medieval England and Western Europe, with a focus on England and the Continent between 900 and 1400."
Interdisciplinary Japanese Studies,University of East Anglia,"7,436,023 PKR / year
1 year
The MA in Interdisciplinary Japanese Studies at the University of East Anglia responds to our contemporary moment in which globalisation and future-oriented concerns put Japan at the centre of debates on urgent issues such as technology and digital innovation, population change, arts and politics, and health and ageing."
International Human Rights Law,University of Hertfordshire,"5,769,933 PKR / year
1 year
The LLM International Human Rights Law from University of Hertfordshire will enable you to explore a wide range of subjects in this area, examine the latest developments and critically analyse the arguments on all sides of the debates."
Quantity Surveying Commercial Management,Leeds Beckett University,"1,911,619 PKR / year
2 years
This Quantity Surveying Commercial Management from Leeds Beckett University will enable you to follow an accredited route towards becoming a chartered surveyor with the opportunity to travel and shape the world we live in."
International Human Resource Management,Coventry University,"7,032,654 PKR / year
1 year
More and more organisations recognise that finding (and keeping) the best talent, and getting the most out of them, is critical to their future success. This International Human Resource Management course at Coventry University will prepare you for a career in HR leadership – helping a wide range of organisations to grow and prosper."
Medical Genomics,London Metropolitan University,"6,366,218 PKR / year
1 year
The Medical Genomics MSc course from London Metropolitan University will bring you up to speed with the post-genomic era following the game-changing breakthrough that is the sequencing of the human genome."
English,University of Portsmouth,"6,033,000 PKR / year
1 year
If you're looking for a rewarding career where you can make a positive difference to other people's lives, teaching is a great choice – and on the English PGCE at University of Portsmouth, you'll gain you the skills and confidence you need to become an outstanding secondary school teacher."
Broadcast Journalism,Cardiff University,"7,962,157 PKR / year
1 year
The Broadcast Journalism programme from Cardiff University is a challenging, practical programme, designed to prepare you for a career in broadcast news in the uk."
iQTS Primary (5-11),University of the West of England (UWE Bristol),"3,244,491 PKR / year
1 year
The iQTS Primary (5-11) program from University of the West of England (UWE Bristol) develops committed, collaborative, adaptable and solution-focused teachers, through high-quality training in international spaces. We put learners at the heart of teaching, celebrating difference to help transform the lives of children and young people in our global society."
Sustainable Business Operations Management - Pre-Master’s Programme,ONCAMPUS Aston,"7,144,896 PKR / year
1 year
The Sustainable Business Operations Management - Pre-Master’s Programme at ONCAMPUS Aston  is a two semester programme, with guaranteed progression* to a wide range of Master’s degrees at Aston University. You will study your Master's programme at our Centre located at the heart of Aston University campus."
Illustration,Kingston University,"7,330,796 PKR / year
1 year
The Illustration course at Kingston University offered through the highly-regarded Department of Illustration Animation, aims to develop creative professional understanding of illustration in the context of communication design."
International Law and Development,University of Nottingham,"7,927,081 PKR / year
1 year
This International Law and Development course from the University of Nottingham focuses on the difficulties that many developing states face in terms of economic growth, but also in relation to human rights, fighting poverty levels, and improving health and education standards."
Artificial Intelligence for Engineering and Design,University of Bath,"11,083,884 PKR / year
1 year
Within the Artificial Intelligence for Engineering and Design programme from University of Bath explore the latest developments in AI and learn how to apply them to solve engineering challenges across industries worldwide."
"Strategy, Marketing and Innovation",University of Portsmouth,"Tuition unknown
2 years
If you're ready to take your existing expertise in Marketing into a postgraduate research degree qualification, Portsmouth is the perfect place to do it."
Digital Marketing,University of the West of England (UWE Bristol),"5,875,160 PKR / year
1 year
This Digital Marketing course at University of the West of England (UWE Bristol) is designed for individuals who are ready to build on their existing marketing background by delving into digital."
Marketing with Festival and Event Management,Edinburgh Napier University,"5,994,417 PKR / year
1 year
 Throughout the Marketing with Festival and Event Management MSc course from the Edinburgh Napier University you'll develop the skills and practical experience required to pursue a career in the marketing and management of festivals, events and conferences."
East Asian Development and Global Economy,University of Bristol,"9,610,709 PKR / year
1 year
As a student on this East Asian Development and Global Economy at University of Bristol, you will explore the development of East Asia within the wider context of global economy and development."
Contemporary History and International Politics,University of York,"8,383,064 PKR / year
1 year
This interdisciplinary Contemporary History and International Politics programme from University of York seeks to address these problems by bringing together politics and contemporary history, with a particular focus on transnational ideas and institutions."
Archaeology,Royal Agricultural University,"5,752,395 PKR / year
1 year
The MSc in Archaeology from Royal Agricultural University is designed to give learners a broad and thorough grounding in the challenging and fast-paced archaeology sector. It will equip you with the wider contextual and practical skills to allow you to engage analytically with a variety of archaeological sites and materials."
Applied Instrumentation and Control,Glasgow Caledonian University,"5,436,715 PKR / year
1 year
Glasgow Caledonian University worked with industry professionals to develop an Applied Instrumentation and Control programme that is accredited by the Institute of Measurement and Control (InstMC). It covers both the latest developments in the field and the industry knowledge we've gained through years of experience."
Synthetic Biology and Biotechnology,The University of Edinburgh,"14,345,913 PKR / year
1 year
This academically challenging and career-developing Synthetic Biology and Biotechnology programme at The University of Edinburgh is a fast-paced and dynamic programme of study. Your studies will draw on the latest research in the fields of synthetic biology, (bio)engineering and biotechnology."
Artificial Intelligence - Pre-Master's Programme (PMP),ONCAMPUS Southampton,"8,486,537 PKR / year
1 year
The Artificial Intelligence - Pre-Master's Programme (PMP) at ONCAMPUS Southampton is a two-semester programme, with guaranteed progression upon successful completion of the programme to a wide range of Master’s degrees at the University of Southampton."
Arts - English,University of Liverpool,"7,664,014 PKR / year
1 year
The Arts - English programme from University of Liverpool allows you to develop and complete a one year full-time or two year part-time independent research project in English Language and/or Literature, in the context of a structured programme of study."
Computer Science with Professional Practice,University of Wolverhampton,"5,769,933 PKR / year
1 year, 2 months
This Computer Science with Professional Practice at University of Wolverhampton offers a unique opportunity for international and home students to gain relevant work experience within an external business or organisation, giving you a competitive edge in the job market."
